[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09854</arsId><beginTm>05:39</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0357113281</gpsX><gpsY>37.6270767404</gpsY><lastTm>00:03</lastTm><posX>203152.02595690824</posX><posY>458613.18195276987</posY><routeType>2</routeType><sectSpd>11</sectSpd><section>108600241</section><seq>31</seq><station>108900028</station><stationNm>금강슈퍼</stationNm><stationNo>09854</stationNo><transYn>N</transYn><fullSectDist>120</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09859</arsId><beginTm>05:40</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0367029926</gpsX><gpsY>37.6277765778</gpsY><lastTm>00:03</lastTm><posX>203239.5238958026</posX><posY>458690.8819693397</posY><routeType>2</routeType><sectSpd>7</sectSpd><section>108600242</section><seq>32</seq><station>108900024</station><stationNm>청화슈퍼</stationNm><stationNo>09859</stationNo><transYn>N</transYn><fullSectDist>117</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09881</arsId><beginTm>05:42</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0376036568</gpsX><gpsY>37.6277177238</gpsY><lastTm>23:59</lastTm><posX>203319.02202813915</posX><posY>458684.38196760695</posY><routeType>2</routeType><sectSpd>14</sectSpd><section>108600243</section><seq>33</seq><station>108900014</station><stationNm>번동슈퍼</stationNm><stationNo>09881</stationNo><transYn>N</transYn><fullSectDist>113</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09865</arsId><beginTm>05:43</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0393340964</gpsX><gpsY>37.6285317388</gpsY><lastTm>00:00</lastTm><posX>203471.71844172242</posX><posY>458774.7819858687</posY><routeType>2</routeType><sectSpd>11</sectSpd><section>108601122</section><seq>34</seq><station>108900190</station><stationNm>번동초등학교</stationNm><stationNo>09865</stationNo><transYn>N</transYn><fullSectDist>205</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09774</arsId><beginTm>05:46</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>강북보건소</direction><gpsX>127.0385973548</gpsX><gpsY>37.630107976</gpsY><lastTm>00:05</lastTm><posX>203406.61997071357</posX><posY>458949.68200218864</posY><routeType>2</routeType><sectSpd>10</sectSpd><section>108601123</section><seq>35</seq><station>108900184</station><stationNm>강북구민운동장.4단지</stationNm><stationNo>09774</stationNo><transYn>N</transYn><fullSectDist>255</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [INFO ] [BusServiceImpl.java:52] - log4j Test
[2022-02-24 13:46:59,798] [DEBUG] [BusServiceImpl.java:37] - Bus Route Id : 108900007
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 강북보건소앞.번2동주민센터
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 강북보건소
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 번동초교.솔그린APT.하나은행
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 번동슈퍼
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 청화슈퍼
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 금강슈퍼
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 인천슈퍼
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 당진슈퍼
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 삼광학원
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 동성마트
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 동성주택
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 제일슈퍼
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 홈빌라트
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 꿈의숲해링턴아파트101동앞
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
